method,seed,category,support,support_share,predicted_count,predicted_share,precision,recall,f1,never_predicted,zero_recall
proposed,62,Food,500,0.21663778162911612,244,0.10571923743500866,0.20901639344262296,0.102,0.13709677419354838,False,False
proposed,62,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Investment,70,0.030329289428076257,80,0.03466204506065858,0.2,0.22857142857142856,0.21333333333333335,False,False
proposed,62,Other,108,0.04679376083188908,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Rent,401,0.17374350086655113,1984,0.8596187175043327,0.17993951612903225,0.8902743142144638,0.2993710691823899,False,False
proposed,62,Salary,67,0.02902946273830156,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Savings,57,0.024696707105719237,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Travel,294,0.12738301559792028,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Utilities,233,0.1009532062391681,0,0.0,0.0,0.0,0.0,True,True
